,x,y,thickness,snr,mask,smb,surf_temp,base_temp,vx,vy,v,snr_pred,snr_pred_std
8210,2120500,1276000,455.13812,,2,509.24338,259.46984903427744,271.8174133300781,113.88193,-63.25124,130.26823,43.19405416622457,14.337049784060437
2934,1350500,-539000,3267.2761,,2,23.492529,237.5976876891174,270.3196105957031,-0.9981665,-2.461062,2.6557791,86.55207549656465,14.337358028252657
6610,2040500,866000,900.75635,,2,360.5375,261.76112394771934,272.325927734375,3.006397,-70.46237,70.52648,51.20758925910429,14.430942321158414
9481,1675500,-774000,3450.689,,2,55.334087,241.96874474407323,270.20550537109375,2.068914,-0.3920523,2.1057327,89.25334229408743,14.411942064975316
8254,115500,861000,3048.0242,,2,40.24771,245.22636821973205,270.54901123046875,-32.473946,0.91982675,32.48697,82.14529479806646,14.419882914600766
6178,80500,-1179000,299.68103,,3,109.15843,264.5273286399965,271.20001220703125,-143.30373,-804.9625,817.6189,23.293236197351728,14.50109990017294
2506,830500,101000,2803.4077,,2,23.902275,237.19962918499823,263.1766662597656,-0.573126,-0.45431954,0.7313547,72.45272295892889,14.720495611327511
1045,505500,-2044000,4.789999,,2,550.438,260.5178684875573,265.2788391113281,-10.258818,-47.358356,48.456757,29.52344177729518,14.360033629035396
5759,490500,1336000,3195.6216,,2,38.393887,239.67166384311503,270.5548095703125,-2.0437753,-0.107115775,2.0465803,85.64022140223219,14.73750804966571
375,2225500,186000,2298.8274,,2,207.22812,254.36460550459077,271.3758850097656,18.400969,-1.3872739,18.453188,71.94138992941508,14.707126363407497
1568,1330500,1811000,138.64626,,3,630.18835,261.9811321680046,271.2622375488281,284.26596,-35.642857,286.4918,20.039957600069982,14.392060022693814
1851,-1204500,376000,793.9982,,3,224.89944,260.9033086454743,271.20001220703125,-172.81808,391.79462,428.2162,31.229037073748145,14.561257639476938
9307,1170500,96000,2834.5745,,2,40.83447,237.052621581085,262.5390930175781,1.9514775,0.94339734,2.1675477,71.09336515309985,14.332098354787906
3407,-1514500,826000,258.37558,,2,309.9424,264.4645465616534,268.0067443847656,-0.73115605,-5.878127,5.923425,38.34925836783229,14.537345820507536
6529,-969500,-549000,2422.8198,91.319,2,129.60953,256.71169531135627,271.0852966308594,5.492547,-3.9437597,6.7617536,74.94683218620105,14.209924165533243
2747,-154500,-489000,324.87854,,2,523.97894,263.9290022731476,269.56817626953125,-34.36819,-13.810558,37.039223,39.65543327187213,14.19833232319468
6,1205500,-399000,3168.697,,2,21.79824,237.29213791942502,270.63153076171875,-1.5938317,-1.8145801,2.4151604,85.8243430859565,14.497292090434673
3389,1370500,-314000,3724.1143,,2,26.122265,236.4474054423834,269.85540771484375,0.10118299,-3.3538976,3.3554235,92.37117115818465,14.321913233034016
8288,2115500,176000,2498.462,,2,162.28024,247.6308985963257,271.11285400390625,6.55874,0.26992577,6.564292,75.61305974769601,14.225697832414934
425,-274500,-9000,1767.4618,,2,108.63726,244.51966341924518,270.7950134277344,-9.34814,6.124345,11.175657,63.9249630675611,14.335415973190115
7559,2080500,-164000,2842.1917,,2,118.576225,244.67735404018845,267.34613037109375,1.2313786,-1.8840709,2.2507813,76.70788167125049,14.533054149900341
3376,-1409500,-744000,1849.6685,,2,679.21454,261.92268522700687,271.9888916015625,-1.1726559,7.945406,8.031475,65.29356812187999,14.364380239876857
9471,1175500,-724000,3658.0938,,2,22.740881,238.01293191628483,269.98724365234375,-2.2683885,-2.1873972,3.1512368,92.0400278689281,14.288518180641494
7311,1570500,1576000,1616.269,,2,128.07191,252.0298243913599,268.2358703613281,-0.3144037,1.4521569,1.4858027,60.53454370557345,14.65860111178335
7552,580500,871000,3025.0923,,2,30.354177,239.52535295770366,270.4457092285156,-1.0599536,0.41454345,1.1381335,83.57174185403127,14.637237485539803
4637,1435500,946000,2253.853,,2,85.00582,247.0192571647727,270.8687438964844,12.044254,-11.5377,16.678806,71.15464419486685,14.527520395347805
4344,-79500,-324000,1320.5436,,2,73.5165,247.12105547922562,271.4989013671875,-6.954898,-4.6517158,8.367142,58.60333649042672,14.651933373681361
2968,-984500,861000,287.71075,,3,137.78702,263.31225157258035,267.1595458984375,14.174958,143.15799,143.85805,20.198689601972134,14.65676513691982
2936,-1569500,871000,206.21468,,2,383.04022,264.4645465616534,264.47154235839844,-0.009478545,4.65438,4.6543894,33.98611823264006,14.705476120169669
21,705500,526000,3070.85,,2,24.49212,237.77504125444938,268.1904602050781,-0.9247345,1.1401538,1.4680206,81.5017425465303,14.194585409451271
9934,1700500,-39000,3043.065,,2,53.543182,238.94173509256285,269.4305419921875,1.1041301,1.2767212,1.6879338,82.13127047302194,14.433675303309085
1490,1275500,-819000,3450.6917,,2,26.903519,237.55410407616154,270.19921875,-1.2399026,-1.0903533,1.6511295,89.5238038992305,14.546509246032246
1448,1775500,-109000,3495.143,67.38600000000001,2,63.456226,238.72691355445892,268.6413269042969,1.421587,-0.86315805,1.663115,87.96110956186628,14.337142811092177
762,745500,1821000,922.799,,2,105.5803,256.9171498562672,270.66265869140625,-6.1264367,27.637274,28.308163,51.677317074227005,14.365908445260553
4548,1010500,1946000,279.9651,,3,302.70105,270.3611074832314,271.4435119628906,-2.5906641,139.96074,139.98471,24.06000451518696,14.435886877561238
6259,515500,1336000,3192.7517,,2,38.40663,239.56026629596855,270.4857482910156,-1.6518252,0.08252125,1.6538851,85.98802042220979,14.379723155176428
424,-2474500,1526000,3.9205177,,2,1753.5781,269.3294222081642,270.6722717285156,4.272172,-8.39611,9.420515,33.10238619404889,14.621121133089972
3484,1375500,-1289000,3296.291,,2,56.38036,241.2422995860308,267.2454528808594,-6.5881443,-1.664694,6.795208,82.33970407968968,14.258953825613604
759,740500,1336000,2511.6016,,2,47.769722,239.72260170692493,267.12811279296875,-0.14141542,0.117142975,0.18363222,73.44120390887957,14.475474484857603
1,-2294500,1126000,209.46956,,2,424.41776,268.53957566644357,271.081787109375,-1.0720048,8.178841,8.2487955,41.108840782737175,14.312186578778086
6504,-969500,521000,502.74094,,3,124.832405,260.95927836513164,270.8868103027344,-24.527365,29.294922,38.20712,28.211749279964142,14.286101235093625
1405,275500,606000,2692.2178,,2,35.96665,243.99139596842662,270.6304626464844,-7.59039,2.405655,7.962487,77.9331943704746,14.481538362342587
